seed,N_SUB,split,kind,method,tau,metric,value
123,100000,train,timing,sklearn_LP,0.9,n_iter,126665.0
123,100000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.003431000000000005
123,100000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0015249999999999793
123,100000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0018832053611671585
123,100000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.01029
123,100000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,5e-05
123,100000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.0002289606734499685
123,100000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.00029535414182609276
123,100000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.01024
123,100000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.0034499999999999926
123,100000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0014659999999999819
123,100000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0017269301855895418
123,100000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.0102
123,100000,train,metric,sklearn_LP,0.1,pinball,0.05866583784409143
123,100000,train,metric,sklearn_LP,0.1,rmse,0.58639305230157
123,100000,test,metric,sklearn_LP,0.1,pinball,0.06013101872436557
123,100000,test,metric,sklearn_LP,0.1,rmse,0.5871891162278393
123,100000,train,metric,sklearn_LP,0.5,pinball,0.1355870520484717
123,100000,train,metric,sklearn_LP,0.5,rmse,0.36959007425862156
123,100000,test,metric,sklearn_LP,0.5,pinball,0.13858293062473354
123,100000,test,metric,sklearn_LP,0.5,rmse,0.373747239033677
123,100000,train,metric,sklearn_LP,0.9,pinball,0.06235969309888077
123,100000,train,metric,sklearn_LP,0.9,rmse,0.583858103433478
123,100000,test,metric,sklearn_LP,0.9,pinball,0.06444015034869371
123,100000,test,metric,sklearn_LP,0.9,rmse,0.586893039604727
123,100000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.79058
123,100000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8680162440229219
123,100000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.2457116907305927
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.3255776500476153
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.45119490622235414
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8680162440229219
