,experiment,experiment_group,seed,method,lower_tau,upper_tau,nominal_coverage,n,n_train,n_test,d,rho,covariance,noise_dist,sigma,heteroskedastic,hetero_strength,t_df,sparsity,lp_alpha,l1,l2,base_lr,batch_size,max_iter,fit_seconds_lower,fit_seconds_upper,fit_seconds,n_iter_lower,n_iter_upper,lower_test_pinball,upper_test_pinball,mean_test_pinball,lower_train_kkt_grad_inf,upper_train_kkt_grad_inf,coverage,mean_width,crossing_rate,winkler
41,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,64,5000,2.1086446339995746,2.132243591000588,4.2408882250001625,5000,5000,0.1791263600666951,0.20986462963874203,0.19449549485271855,0.0016769932269087206,0.002137248776477946,0.949,12.136153343849772,0.0,15.559639588217477
42,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,64,5000,1.3975288900001033,1.4341079329988133,2.8316368229989166,5000,5000,0.28099215126336713,0.2576323142557063,0.26931223275953675,0.0019831415077741243,0.0024594104897333047,0.965,18.125660318650706,0.0,21.544978620762926
43,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,64,5000,1.3829685959990456,1.3668533809996006,2.7498219769986463,5000,5000,0.25597622311294793,0.25661602051369026,0.25629612181331907,0.0019340387983559594,0.0023834042138174685,0.963,17.01597035991103,0.0,20.503689745065515
44,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,64,5000,1.3429861050008185,1.3660822059991915,2.70906831100001,5000,5000,0.3827158126737233,0.3772568775230042,0.3799863450983637,0.0014118114035573629,0.0019482334470647354,0.975,27.241102273362994,0.0,30.398907607869077
45,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,128,5000,1.692659434998859,2.1868284819993278,3.879487916998187,5000,5000,0.29014682956185006,0.2759160139088355,0.2830314217353428,0.002098186170947344,0.002243489641900077,0.965,18.761489306995603,0.0,22.642513738827407
46,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,128,5000,2.0957471929996245,1.424088940000729,3.5198361330003536,5000,5000,0.17850876280846098,0.20907193195610513,0.19379034738228307,0.0012691663792960466,0.0022850248666271677,0.948,11.939097913462673,0.0,15.503227790582635
47,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,128,5000,1.4879053459990246,1.4591063679999934,2.947011713999018,5000,5000,0.2791041216634724,0.2560750706629219,0.26758959616319716,0.001988107591116765,0.0020310966771080606,0.965,17.91722068185228,0.0,21.407167693055765
48,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,128,5000,1.4264150260005408,1.4798811319997185,2.9062961580002593,5000,5000,0.25506196832664924,0.2553763116263612,0.25521913997650525,0.0020486318466594747,0.00226191802838451,0.961,16.793837841972827,0.0,20.417531198120408
49,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,128,5000,1.5066963300014322,1.997634110000945,3.504330440002377,5000,5000,0.38317013272575035,0.37559109369334387,0.3793806132095471,0.001189282843773811,0.0015114364718993704,0.974,27.02511223075539,0.0,30.350449056763754
50,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,256,5000,2.524808291998852,2.075801635000971,4.600609926999823,5000,5000,0.2874833225417407,0.27383410759021976,0.2806587150659802,0.0016601199473074868,0.001903964944721753,0.961,18.528911379857668,0.0,22.452697205278405
51,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,256,5000,1.6136554659988178,1.7206968560003588,3.3343523219991766,5000,5000,0.17840462711895236,0.20893245036664582,0.1936685387427991,0.00121092689377948,0.0015830248080370495,0.947,11.790877014772388,0.0,15.493483099423916
52,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,256,5000,1.6452663559994107,1.6043560589987464,3.249622414998157,5000,5000,0.2780671745375413,0.2543446942689885,0.2662059344032649,0.002438438424051858,0.0017301428862455434,0.965,17.736836596645496,0.0,21.296474752261183
53,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,256,5000,1.704206169999452,2.2995619239991356,4.003768093998588,5000,5000,0.25354123009286217,0.2540550779784975,0.25379815403567985,0.0015324955410075333,0.0018596983057988813,0.961,16.558165593052422,0.0,20.30385232285438
54,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,256,5000,2.525686486000268,1.6417975460008165,4.167484032001084,5000,5000,0.383350911890095,0.3751448706639749,0.37924789127703495,0.0014326928084951037,0.00127565794972904,0.973,26.859074143493554,0.0,30.339831302162775
55,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,512,5000,2.0416327849998197,1.9776037749998068,4.0192365599996265,5000,5000,0.2862174309418173,0.2718396774426211,0.27902855419221917,0.0016460592822017722,0.0018454194340938909,0.959,18.35496508327558,0.0,22.322284335377525
56,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,512,5000,2.0201597870000114,2.0503239999998186,4.07048378699983,5000,5000,0.17827820866392358,0.20764823164308813,0.19296322015350587,0.0013728565510785409,0.0013370234056494016,0.947,11.651881651116932,0.0,15.43705761228046
57,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,512,5000,2.9571663820006506,2.6682415020004555,5.625407884001106,5000,5000,0.27790327383291935,0.2527808781685508,0.2653420760007351,0.0016847000457886334,0.0016832502092237209,0.965,17.615688513335087,0.0,21.227366080058797
58,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,512,5000,2.0099615640010597,2.1506803760003095,4.160641940001369,5000,5000,0.2520623848518869,0.25277840595082257,0.25242039540135475,0.0015652879330296013,0.00148095969142065,0.961,16.33904176868164,0.0,20.193631632108367
59,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,512,5000,2.167229844999383,2.0885966940004437,4.255826538999827,5000,5000,0.3829689659548244,0.3756215345635265,0.37929525025917543,0.0011730457154016847,0.0011958459370879561,0.973,26.727756345250786,0.0,30.34362002073402
60,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,1024,5000,4.072990501999811,2.9606490089990984,7.03363951099891,5000,5000,0.2855449534546783,0.27037673425715847,0.27796084385591835,0.001351683005347384,0.0013627614661699129,0.959,18.272902250757536,0.0,22.23686750847346
61,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.01,1024,5000,2.7714221319984063,2.8049109730000055,5.576333104998412,5000,5000,0.1789187292058505,0.20686764265724794,0.19289318593154922,0.0014843135315450666,0.0012331893123221302,0.946,11.568546777655024,0.0,15.431454874523926
