seed,N_SUB,split,kind,method,tau,metric,value
123,100000,train,kkt,IRLS,0.1,kkt_grad_inf,0.0017090000000000226
123,100000,train,kkt,IRLS,0.1,kkt_grad_l2,0.002008715367248269
123,100000,train,kkt,IRLS,0.1,frac_near_zero_resid,0.00129
123,100000,train,kkt,IRLS,0.5,kkt_intercept_abs,7e-05
123,100000,train,kkt,IRLS,0.5,kkt_grad_inf,9.006379368603852e-05
123,100000,train,kkt,IRLS,0.5,kkt_grad_l2,0.00014651915706955502
123,100000,train,kkt,IRLS,0.5,frac_near_zero_resid,0.00422
123,100000,train,kkt,IRLS,0.9,kkt_intercept_abs,0.0036880000000000064
123,100000,train,kkt,IRLS,0.9,kkt_grad_inf,0.001566000000000019
123,100000,train,kkt,IRLS,0.9,kkt_grad_l2,0.001879441804261409
123,100000,train,kkt,IRLS,0.9,frac_near_zero_resid,0.00128
123,100000,train,metric,IRLS,0.1,pinball,0.058665839268175625
123,100000,train,metric,IRLS,0.1,rmse,0.586445650323043
123,100000,test,metric,IRLS,0.1,pinball,0.06013086711040209
123,100000,test,metric,IRLS,0.1,rmse,0.5872452370029093
123,100000,train,metric,IRLS,0.5,pinball,0.1355870523808769
123,100000,train,metric,IRLS,0.5,rmse,0.36931931297260945
123,100000,test,metric,IRLS,0.5,pinball,0.13852902493671213
123,100000,test,metric,IRLS,0.5,rmse,0.37354150316010276
123,100000,train,metric,IRLS,0.9,pinball,0.06235969445240986
123,100000,train,metric,IRLS,0.9,rmse,0.5839402913814364
123,100000,test,metric,IRLS,0.9,pinball,0.06444169156545397
123,100000,test,metric,IRLS,0.9,rmse,0.5869910046187892
123,100000,test,pi,IRLS,"PI(0.1,0.9)",coverage,0.79054
123,100000,test,pi,IRLS,"PI(0.1,0.9)",mean_width,0.868226537266604
123,100000,test,pi,IRLS,"PI(0.1,0.9)",winkler,1.2457255867585604
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_r,0.32573134081613203
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_r,0.45128078455621023
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__mean_width,0.868226537266604
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.5130957420436231
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6590159813211225
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,100000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.868226537266604
123,250000,train,timing,IRLS,0.1,fit_seconds,2538.5384907000007
123,250000,train,timing,IRLS,0.1,n_iter,518.0
123,250000,train,timing,IRLS,0.5,fit_seconds,1775.2253815220029
123,250000,train,timing,IRLS,0.5,n_iter,367.0
123,250000,train,timing,IRLS,0.9,fit_seconds,2599.8105989739997
123,250000,train,timing,IRLS,0.9,n_iter,501.0
123,250000,train,kkt,IRLS,0.1,kkt_intercept_abs,0.0016147999999999946
123,250000,train,kkt,IRLS,0.1,kkt_grad_inf,0.0007176000000000211
123,250000,train,kkt,IRLS,0.1,kkt_grad_l2,0.0008525164608647779
123,250000,train,kkt,IRLS,0.1,frac_near_zero_resid,0.000468
123,250000,train,kkt,IRLS,0.5,kkt_intercept_abs,2e-06
123,250000,train,kkt,IRLS,0.5,kkt_grad_inf,5.251874534616479e-05
123,250000,train,kkt,IRLS,0.5,kkt_grad_l2,8.33527361152422e-05
123,250000,train,kkt,IRLS,0.5,frac_near_zero_resid,0.001748
123,250000,train,kkt,IRLS,0.9,kkt_intercept_abs,0.0016356000000000064
123,250000,train,kkt,IRLS,0.9,kkt_grad_inf,0.0007200000000000222
123,250000,train,kkt,IRLS,0.9,kkt_grad_l2,0.0008432548382016834
123,250000,train,kkt,IRLS,0.9,frac_near_zero_resid,0.000436
123,250000,train,metric,IRLS,0.1,pinball,0.058999686651096325
123,250000,train,metric,IRLS,0.1,rmse,0.5859463767241169
123,250000,test,metric,IRLS,0.1,pinball,0.05964001813296927
123,250000,test,metric,IRLS,0.1,rmse,0.5867098080429374
123,250000,train,metric,IRLS,0.5,pinball,0.13623401574764515
123,250000,train,metric,IRLS,0.5,rmse,0.3692141017520852
123,250000,test,metric,IRLS,0.5,pinball,0.13688546061841275
123,250000,test,metric,IRLS,0.5,rmse,0.3701558829848573
123,250000,train,metric,IRLS,0.9,pinball,0.06304791312373982
123,250000,train,metric,IRLS,0.9,rmse,0.5830846167521162
123,250000,test,metric,IRLS,0.9,pinball,0.06343053750286198
123,250000,test,metric,IRLS,0.9,rmse,0.5847332050728418
123,250000,test,pi,IRLS,"PI(0.1,0.9)",coverage,0.79634
123,250000,test,pi,IRLS,"PI(0.1,0.9)",mean_width,0.8702135396370494
123,250000,test,pi,IRLS,"PI(0.1,0.9)",winkler,1.2307055563583127
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_r,0.31486939788554397
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4617442649811298
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__mean_width,0.8702135396370494
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.4956971116625828
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6685374175158344
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,250000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8702135396370494
123,500000,train,timing,IRLS,0.1,fit_seconds,4343.527756550997
123,500000,train,timing,IRLS,0.1,n_iter,427.0
123,500000,train,timing,IRLS,0.5,fit_seconds,2848.0543104099997
123,500000,train,timing,IRLS,0.5,n_iter,261.0
123,500000,train,timing,IRLS,0.9,fit_seconds,5600.889018909998
123,500000,train,timing,IRLS,0.9,n_iter,551.0
123,500000,train,kkt,IRLS,0.1,kkt_intercept_abs,0.0008769999999999946
123,500000,train,kkt,IRLS,0.1,kkt_grad_inf,0.0004032000000000183
123,500000,train,kkt,IRLS,0.1,kkt_grad_l2,0.00048404907195264947
123,500000,train,kkt,IRLS,0.1,frac_near_zero_resid,0.00017
123,500000,train,kkt,IRLS,0.5,kkt_intercept_abs,9e-06
123,500000,train,kkt,IRLS,0.5,kkt_grad_inf,1.2660257719247131e-05
123,500000,train,kkt,IRLS,0.5,kkt_grad_l2,2.3507959218325402e-05
123,500000,train,kkt,IRLS,0.5,frac_near_zero_resid,0.00083
123,500000,train,kkt,IRLS,0.9,kkt_intercept_abs,0.0008686000000000064
123,500000,train,kkt,IRLS,0.9,kkt_grad_inf,0.0003798000000000219
123,500000,train,kkt,IRLS,0.9,kkt_grad_l2,0.0004440667619535473
123,500000,train,kkt,IRLS,0.9,frac_near_zero_resid,0.000166
123,500000,train,metric,IRLS,0.1,pinball,0.059173140200389156
123,500000,train,metric,IRLS,0.1,rmse,0.5867777974094421
123,500000,test,metric,IRLS,0.1,pinball,0.059524745589897246
123,500000,test,metric,IRLS,0.1,rmse,0.586431436271099
123,500000,train,metric,IRLS,0.5,pinball,0.13644947398703772
123,500000,train,metric,IRLS,0.5,rmse,0.36938147727155
123,500000,test,metric,IRLS,0.5,pinball,0.1357674227909831
123,500000,test,metric,IRLS,0.5,rmse,0.36768535041680034
123,500000,train,metric,IRLS,0.9,pinball,0.06320063246324077
123,500000,train,metric,IRLS,0.9,rmse,0.5822372991704583
123,500000,test,metric,IRLS,0.9,pinball,0.06301008928149776
123,500000,test,metric,IRLS,0.9,rmse,0.5792892668395481
123,500000,test,pi,IRLS,"PI(0.1,0.9)",coverage,0.79888
123,500000,test,pi,IRLS,"PI(0.1,0.9)",mean_width,0.8684425467343397
123,500000,test,pi,IRLS,"PI(0.1,0.9)",winkler,1.22534834871395
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_r,0.32973028198280113
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4750086079605865
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__mean_width,0.8684425467343397
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.5138821718449105
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6849574606137602
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,500000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8684425467343397
