seed,N_SUB,split,kind,method,tau,metric,value,method_label
123,75000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8679086086292265,sklearn_LP
123,100000,train,timing,sklearn_LP,0.1,fit_seconds,1104.1696538899996,sklearn_LP
123,100000,train,timing,sklearn_LP,0.1,n_iter,126440.0,sklearn_LP
123,100000,train,timing,sklearn_LP,0.5,fit_seconds,1268.550490795,sklearn_LP
123,100000,train,timing,sklearn_LP,0.5,n_iter,158287.0,sklearn_LP
123,100000,train,timing,sklearn_LP,0.9,fit_seconds,1065.3754862840003,sklearn_LP
123,100000,train,timing,sklearn_LP,0.9,n_iter,126665.0,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.003431,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0015249999999999,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0018832053611671,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.01029,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,5e-05,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.0002289606734499,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.000295354141826,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.01024,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.0034499999999999,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0014659999999999,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0017269301855895,sklearn_LP
123,100000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.0102,sklearn_LP
123,100000,train,metric,sklearn_LP,0.1,pinball,0.0586658378440914,sklearn_LP
123,100000,train,metric,sklearn_LP,0.1,rmse,0.58639305230157,sklearn_LP
123,100000,test,metric,sklearn_LP,0.1,pinball,0.0601310187243655,sklearn_LP
123,100000,test,metric,sklearn_LP,0.1,rmse,0.5871891162278393,sklearn_LP
123,100000,train,metric,sklearn_LP,0.5,pinball,0.1355870520484717,sklearn_LP
123,100000,train,metric,sklearn_LP,0.5,rmse,0.3695900742586215,sklearn_LP
123,100000,test,metric,sklearn_LP,0.5,pinball,0.1385829306247335,sklearn_LP
123,100000,test,metric,sklearn_LP,0.5,rmse,0.373747239033677,sklearn_LP
123,100000,train,metric,sklearn_LP,0.9,pinball,0.0623596930988807,sklearn_LP
123,100000,train,metric,sklearn_LP,0.9,rmse,0.583858103433478,sklearn_LP
123,100000,test,metric,sklearn_LP,0.9,pinball,0.0644401503486937,sklearn_LP
123,100000,test,metric,sklearn_LP,0.9,rmse,0.586893039604727,sklearn_LP
123,100000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.79058,sklearn_LP
123,100000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8680162440229219,sklearn_LP
123,100000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.2457116907305927,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.3255776500476153,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4511949062223541,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8680162440229219,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.5116579319464312,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6576448861050539,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0,sklearn_LP
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8680162440229219,sklearn_LP
123,250000,train,timing,sklearn_LP,0.1,fit_seconds,6971.074957043,sklearn_LP
123,250000,train,timing,sklearn_LP,0.1,n_iter,309058.0,sklearn_LP
123,250000,train,timing,sklearn_LP,0.5,fit_seconds,8734.975131283,sklearn_LP
123,250000,train,timing,sklearn_LP,0.5,n_iter,405250.0,sklearn_LP
123,250000,train,timing,sklearn_LP,0.9,fit_seconds,6716.275756504001,sklearn_LP
123,250000,train,timing,sklearn_LP,0.9,n_iter,307480.0,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.0015428,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0007039999999999,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0008060854532636,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.004332,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,2e-05,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,3e-05,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,8.966529445952477e-05,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.004296,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.0015035999999999,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0006943999999999,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0008038071390893,sklearn_LP
123,250000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.004324,sklearn_LP
123,250000,train,metric,sklearn_LP,0.1,pinball,0.0589996860616798,sklearn_LP
123,250000,train,metric,sklearn_LP,0.1,rmse,0.5859153365410426,sklearn_LP
123,250000,test,metric,sklearn_LP,0.1,pinball,0.05963829611445,sklearn_LP
123,250000,test,metric,sklearn_LP,0.1,rmse,0.5866736832614923,sklearn_LP
123,250000,train,metric,sklearn_LP,0.5,pinball,0.1362340155899481,sklearn_LP
123,250000,train,metric,sklearn_LP,0.5,rmse,0.3693113994090115,sklearn_LP
123,250000,test,metric,sklearn_LP,0.5,pinball,0.1369076072236624,sklearn_LP
123,250000,test,metric,sklearn_LP,0.5,rmse,0.3702152356115105,sklearn_LP
123,250000,train,metric,sklearn_LP,0.9,pinball,0.06304791248772,sklearn_LP
123,250000,train,metric,sklearn_LP,0.9,rmse,0.5830559006099741,sklearn_LP
123,250000,test,metric,sklearn_LP,0.9,pinball,0.0634316480777272,sklearn_LP
123,250000,test,metric,sklearn_LP,0.9,rmse,0.5847050826187986,sklearn_LP
123,250000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.79664,sklearn_LP
123,250000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8701335829254913,sklearn_LP
123,250000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.2306994419217736,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.3147675874162429,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4616771096898222,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8701335829254913,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.4950466780354401,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6679877239526554,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0,sklearn_LP
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8701335829254913,sklearn_LP
123,10000,train,timing,IRLS,0.1,fit_seconds,1023.1081414150004,IRLS
123,10000,train,timing,IRLS,0.1,n_iter,1676.0,IRLS
123,10000,train,timing,IRLS,0.5,fit_seconds,420.4176727949998,IRLS
123,10000,train,timing,IRLS,0.5,n_iter,689.0,IRLS
123,10000,train,timing,IRLS,0.9,fit_seconds,594.2333871999999,IRLS
123,10000,train,timing,IRLS,0.9,n_iter,976.0,IRLS
123,10000,train,kkt,IRLS,0.1,kkt_intercept_abs,0.0333799999999999,IRLS
123,10000,train,kkt,IRLS,0.1,kkt_grad_inf,0.01486,IRLS
123,10000,train,kkt,IRLS,0.1,kkt_grad_l2,0.0173231778103404,IRLS
123,10000,train,kkt,IRLS,0.1,frac_near_zero_resid,0.0138,IRLS
123,10000,train,kkt,IRLS,0.5,kkt_intercept_abs,0.0001,IRLS
123,10000,train,kkt,IRLS,0.5,kkt_grad_inf,0.0002584536761101,IRLS
123,10000,train,kkt,IRLS,0.5,kkt_grad_l2,0.0008486037395493,IRLS
123,10000,train,kkt,IRLS,0.5,frac_near_zero_resid,0.0354,IRLS
123,10000,train,kkt,IRLS,0.9,kkt_intercept_abs,0.03326,IRLS
123,10000,train,kkt,IRLS,0.9,kkt_grad_inf,0.01458,IRLS
123,10000,train,kkt,IRLS,0.9,kkt_grad_l2,0.0170831464255677,IRLS
123,10000,train,kkt,IRLS,0.9,frac_near_zero_resid,0.0146,IRLS
123,10000,train,metric,IRLS,0.1,pinball,0.0527151820762573,IRLS
123,10000,train,metric,IRLS,0.1,rmse,0.571113834797978,IRLS
123,10000,test,metric,IRLS,0.1,pinball,0.0678354873278678,IRLS
123,10000,test,metric,IRLS,0.1,rmse,0.5907297236786244,IRLS
123,10000,train,metric,IRLS,0.5,pinball,0.1274576736483164,IRLS
123,10000,train,metric,IRLS,0.5,rmse,0.3567793996006397,IRLS
123,10000,test,metric,IRLS,0.5,pinball,0.1442211269061937,IRLS
123,10000,test,metric,IRLS,0.5,rmse,0.3895673678562338,IRLS
123,10000,train,metric,IRLS,0.9,pinball,0.0550172354842125,IRLS
123,10000,train,metric,IRLS,0.9,rmse,0.568622498810164,IRLS
123,10000,test,metric,IRLS,0.9,pinball,0.0741269121598878,IRLS
123,10000,test,metric,IRLS,0.9,rmse,0.5938815292108387,IRLS
123,10000,test,pi,IRLS,"PI(0.1,0.9)",coverage,0.72958,IRLS
